source_symbol,feature_name,resolved_hgnc_symbol,mapping_method,mapping_source
AGPAT3,Q9NRZ7,AGPAT3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AGPS,O00116,AGPS,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AGRP,O00253,AGRP,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
AGTR1,P30556,AGTR1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AGTRAP,Q6RW13,AGTRAP,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AGXT,P21549,AGXT,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AHDC1,Q5TGY3,AHDC1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AHNAK,Q09666,AHNAK,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AHNAK2,Q8IVF2,AHNAK2,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
AHR,P35869,AHR,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AHSG,P02765,AHSG,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AHSP,Q9NZD4,AHSP,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AIDA,Q96BJ3,AIDA,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AIF1,P55008,AIF1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AIF1L,Q9BQI0,AIF1L,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AIMP1,Q12904,AIMP1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AJM1,C9J069,AJM1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AK1,P00568,AK1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AK3,Q9UIJ7,AK3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AK4,P27144,AK4,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AKAP11,Q9UKA4,AKAP11,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AKAP12,Q02952,AKAP12,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AKAP17A,Q02040,AKAP17A,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AKAP8,O43823,AKAP8,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
